module	name	heures
1101	Anglais	30
1102	LV2	20
1103	Théories de l'information et de la com.	20
1104	Esthétique et expression artistique	35
1105	Ecriture pour les médias numériques	30
1106	Communication expression écrite et orale	40
1107	Gestion de projet	30
1108	PPP	20
1109	Environnement juridique, éco, mercatique	30
1110	Adaptation de parcours	15
1201	Culture scientifique et traitement de l'info.	45
1202	Algorithmique et prog	30
1203	Services sur réseaux	50
1204	Infographie	30
1205	Intégration web	30
1206	Production audiovisuelle	30
1207	Adaptation de parcours	15
